Name,Studio,Genres
Hajime no Ippo: New Challenger,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Tournaments, Based on a Manga"
Mushishi Zoku Shou 2nd Season,Artland,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga"
Attack on Titan,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Death of a Loved One, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Revenge, Based on a Manga, Cannibalism,, Explicit Violence,, Mature Themes,, Suicide"
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,Production I.G,"Shounen, Sports, Recap, Volleyball, Based on a Manga"
Kaguya-sama: Love Is War?,A-1 Pictures,"Comedy, Drama, Romance, Seinen, Episodic, Love Confession, Mind Games, School Life, Student Council, Based on a Manga"
Gintama: Porori-hen,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
March Comes in like a Lion 2nd Season,SHAFT,"Drama, Seinen, Slice of Life, Board Games, Melancholy, Orphans, Psychological, Based on a Manga, Bullying,, Emotional Abuse"
Natsume's Book of Friends Season 3,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Attack on Titan 2nd Season,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
I Want to Eat Your Pancreas,Studio VOLN,"Drama, Romance, Seinen, Coming of Age, Illness, Opposites Attract, School Life, Based on a Novel"
Rascal Does Not Dream of a Dreaming Girl,CloverWorks,"Drama, Romance, Illness, Senpai-Kouhai Relationship, Supernatural, Time Travel, Based on a Light Novel"
Given Movie,Lerche,"BL, Drama, Romance, Shounen-ai, Adult Couples, Codependency, Love Triangle, Mature Romance, Music, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content"
Mushishi Zoku Shou,Artland,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga"
Princess Mononoke,Studio Ghibli,"Action, Adventure, Fantasy, Curse, Environmental, Feudal Japan, Forest, Japanese Mythology, Royalty, Original Work"
Kuroko's Basketball 3,Production I.G,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga"
BTS: We are Bulletproof - the Eternal,Studio Pivote,"Chibi, Korean Animation"
Haikyuu!! Movie 4: Battle of Concepts,Production I.G,"Shounen, Sports, Recap, School Club, Tournaments, Volleyball, Based on a Manga"
Dr. Stone,8 Pan,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga"
Attack on Titan: No Regrets,WIT Studio,"Action, Fantasy, Shoujo, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
Horimiya,CloverWorks,"Comedy, Romance, Shounen, Romantic Comedy, School Life, Based on a Manga"
Cowboy Bebop,Sunrise,"Action, Adventure, Drama, Sci Fi, Bounty Hunters, Episodic, Noir, Outer Space, Western, Original Work, Drug Use,, Mature Themes,, Nudity,, Violence"
Hotarubi no Mori e,Brain's Base,"Drama, Romance, Shoujo, Coming of Age, Forest, Japanese Mythology, Loneliness, Melancholy, Supernatural, Youkai, Based on a Manga"
The Disastrous Life of Saiki K. 2nd Season,J.C.Staff,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Supernatural, Superpowers, Based on a Manga"
Monogatari Series: Second Season,SHAFT,"Action, Comedy, Drama, Ecchi, Mystery, Romance, Supernatural, Tsundere, Based on a Light Novel, Explicit Violence"
Castlevania Season 4,Tiger Animation,"Action, Adventure, Drama, Horror, 15th Century, Europe, Historical, Magic, Medieval, Supernatural, Vampires, Based on a Video Game, Animal Abuse,, Explicit Violence,, Mature Themes,, Suicide"
Doukyuusei,A-1 Pictures,"BL, Drama, Romance, Shounen-ai, All-Boys School, LGBT Themes, Opposites Attract, School Life, Based on a Manga"
ERASED,A-1 Pictures,"Drama, Mystery, Seinen, Age Transformation, Crime, Death of a Loved One, Dysfunctional Families, Melancholy, noitaminA, Serial Killers, Supernatural, Thriller, Time Travel, Based on a Manga, Animal Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
The Rising of the Shield Hero,Kinema Citrus,"Action, Adventure, Drama, Fantasy, Seinen, Animal Characteristics, Betrayal, Dark Fantasy, Demons, Framed for a Crime, Isekai, Monsters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence"
To Your Eternity,Brain's Base,"Adventure, Drama, Fantasy, Shounen, Animal Transformation, Melancholy, Non-Human Protagonists, Supernatural, Survival, Based on a Manga, Violence"
Hajime no Ippo: Rising,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga"
"Josee, the Tiger and the Fish",Bones,"Drama, Romance, Disability, Based on a Novel"
Made in Abyss,Kinema Citrus,"Adventure, Drama, Fantasy, Mystery, Sci Fi, Seinen, Androids, Curse, Dark Fantasy, Melancholy, Non-Human Protagonists, Orphans, Outside World, Psychological, Robots, Based on a Manga, Explicit Violence"
Rurouni Kenshin: Tsuiokuhen,Studio DEEN,"Drama, Romance, 19th Century, Feudal Japan, Historical, Melancholy, Samurai, Star-Crossed Lovers, Swordplay, Based on a Manga, Violence"
Descending Stories: Shouwa Genroku Rakugo Shinjuu,Studio DEEN,"Drama, Josei, Adult Couples, Animeism, Apprenticeship, Historical, Rakugo, Based on a Manga"
Haikyuu!! Movie 3: Talent and Sense,Production I.G,"Shounen, Sports, Recap, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
Mo Dao Zu Shi Q,B.C MAY PICTURES,"Comedy, Ancient China, Chibi, Chinese Animation, Episodic, Historical, Short Episodes"
Natsume's Book of Friends Season 2,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Made in Abyss Movie: Dawn of the Deep Soul,Kinema Citrus,"Adventure, Fantasy, Horror, Mystery, Sci Fi, Seinen, Curse, Dark Fantasy, Human Experimentation, Non-Human Protagonists, Orphans, Outside World, Robots, Based on a Manga, Explicit Violence,, Nudity"
Fruits Basket 1st Season,TMS Entertainment,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Death of a Loved One, Dysfunctional Families, Love Triangle, Orphans, Slapstick, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse"
Kizumonogatari Part 3: Reiketsu,SHAFT,"Action, Drama, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence,, Nudity"
Dr. Stone: Stone Wars,8 Pan,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga"
My Hero Academia 4,Bones,"Action, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence"
Owarimonogatari II,SHAFT,"Drama, Mystery, Romance, Supernatural, Based on a Light Novel, Violence"
Great Teacher Onizuka,Pierrot,"Comedy, Drama, Shounen, Delinquents, School Life, Slapstick, Teaching, Work Life, Based on a Manga, Bullying,, Emotional Abuse"
Your lie in April,A-1 Pictures,"Drama, Romance, Shounen, Classical Music, Illness, Melancholy, Mental Illness, Music, noitaminA, Psychological, School Life, Tournaments, Unrequited Love, Based on a Manga, Mature Themes,, Physical Abuse,, Domestic Abuse"
Bungo Stray Dogs 3rd Season,Bones,"Action, Mystery, Seinen, Supernatural, Superpowers, Based on a Manga, Mature Themes,, Suicide,, Violence"
Kamisama Kiss 2nd Season,TMS Entertainment,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga"
Violet Evergarden: Eternity and the Auto Memory Doll,Kyoto Animation,"Drama, Melancholy, Based on a Light Novel"
Mob Psycho 100,Bones,"Action, Comedy, Exorcists, Overpowered Main Characters, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence"
Natsume's Book of Friends Season 6 Specials,Shuka,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Kuroko's Basketball 2,Production I.G,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga"
Natsume's Book of Friends Movie: Ephemeral Bond,Shuka,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Odd Taxi,P.I.C.S.,"Drama, Mystery, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, Social Media, Original Work, Violence"
Death Note,MADHOUSE,"Mystery, Shounen, Crime, Criminals, Detectives, Mind Games, Overpowered Main Characters, Psychological, Psychopaths, Rivalries, Secret Identity, Serial Killers, Shinigami, Supernatural, Thriller, Vigilantes, Based on a Manga"
Moriarty the Patriot 2nd Season,Production I.G,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga, Violence"
Fate/stay night: Heaven's Feel III. spring song,ufotable,"Action, Fantasy, Romance, Magic, Superpowers, Based on an Eroge, Based on a Visual Novel, Mature Themes,, Suicide,, Violence"
One Piece Movie 14: Stampede,Toei Animation,"Action, Adventure, Shounen, Pirates, Superpowers, Based on a Manga"
Kingdom 3,St. Signpost,"Action, Drama, Seinen, Ancient China, Historical, Political, War, Based on a Manga"
One Piece,Toei Animation,"Action, Adventure, Comedy, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga"
Mushishi: Hihamukage,Artland,"Fantasy, Seinen, Countryside, Illness, Supernatural, Based on a Manga"
Tokyo Revengers,LIDEN FILMS,"Action, Drama, Shounen, Delinquents, Gangs, Time Travel, Based on a Manga, Mature Themes,, Suicide,, Violence"
My Hero Academia Movie 2: Heroes:Rising,Bones,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga"
Fate/Zero 2,ufotable,"Action, Fantasy, Contemporary Fantasy, Magic, Proxy Battles, Rivalries, Superpowers, Urban Fantasy, Based on a Light Novel, Violence"
My Hero Academia,Bones,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Weak to Strong, Based on a Manga, Violence"
Steins;Gate Movie: Load Region of Deja Vu,WHITE FOX,"Drama, Sci Fi, Thriller, Time Travel, Based on a Visual Novel"
KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,J.C.Staff,"Comedy, Ecchi, Fantasy, Isekai, NEET, Person in a Strange World, RPG, Based on a Light Novel"
Yuri!!! on Ice,MAPPA,"Drama, Sports, Adult Couples, Ice Skating, Rivalries, Tournaments, Original Work"
Dou Po Cangqiong: San Nian Zhi Yao,Motion Magic,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation"
Dororo (2019),MAPPA,"Action, Adventure, Shounen, 15th Century, Curse, Dark Fantasy, Deal with the Devil, Demons, Feudal Japan, Historical, Samurai, Supernatural, War, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Content"
Bunny Drop,Production I.G,"Drama, Josei, Slice of Life, Childcare, Family Life, Iyashikei, Lifestyle Change, noitaminA, Single Parent, Based on a Manga"
Gintama: Shinyaku Benizakura-hen,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Recap, Samurai, Swordplay, Based on a Manga"
The Garden of Sinners Movie 5: Paradox Paradigm,ufotable,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Explicit Violence,, Mature Themes,, Physical Abuse,, Domestic Abuse"
Bakuman. 3,J.C.Staff,"Drama, Shounen, Anime Industry, Manga Industry, Otaku Culture, Voice Acting, Writers, Based on a Manga"
The Disastrous Life of Saiki K.,J.C.Staff,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Short Episodes, Supernatural, Superpowers, Based on a Manga"
Given: Uragawa no Sonzai,Lerche,"Music, Based on a Manga"
Black Butler: Book of the Atlantic,A-1 Pictures,"Shounen, 19th Century, Butlers, Demons, Europe, Master-Servant Relationship, Non-Human Protagonists, Supernatural, Zombies, Based on a Manga, Violence"
The Boy and the Beast,Studio Chizu,"Action, Fantasy, Anthropomorphic, Coming of Age, Isekai, Japanese Mythology, Non-Human Protagonists, Person in a Strange World, Original Work"
Miss Kobayashi's Dragon Maid S,Kyoto Animation,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Cohabitation, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Reverse Isekai, Roommates, Urban Fantasy, Based on a Manga"
Kono Oto Tomare! 2nd Season,Platinum Vision,"Drama, Romance, Shounen, Music, School Club, School Life, Based on a Manga"
The Disappearance of Haruhi Suzumiya,Kyoto Animation,"Drama, Sci Fi, Shounen, Psychological, Time Travel, Based on a Light Novel"
Kizumonogatari Part 2: Nekketsu,SHAFT,"Action, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence"
Mushishi Zoku Shou: Suzu no Shizuku,Artland,"Fantasy, Seinen, Countryside, Forest, Iyashikei, Supernatural, Based on a Manga"
Overlord III,MADHOUSE,"Action, Fantasy, Sci Fi, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel"
Re:ZERO -Starting Life in Another World- Season 2: Part II,WHITE FOX,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel"
Laid-Back Camp 2nd Season,C-Station,"Adventure, Comedy, Seinen, Slice of Life, Iyashikei, The Great Outdoors, Based on a Manga"
Saga of Tanya the Evil Movie,NUT,"Action, Fantasy, Guns, Isekai, Military, Person in a Strange World, Reincarnation, War, Based on a Light Novel, Violence"
Mushishi Zoku Shou: Odoro no Michi,Artland,"Fantasy, Seinen, Forest, Iyashikei, Supernatural, Based on a Manga"
The Disastrous Life of Saiki K. 3,J.C.Staff,"Comedy, Shounen, Breaking the Fourth Wall, Gag, Psychic Powers, Supernatural, Superpowers, Based on a Manga"
